,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Cef Ticker,Current price,52 Wk Avg price,52 Wk High price,52 Wk Low price,Current Nav,52 Wk Avg Nav,52 Wk High Nav,52 Wk Low Nav,Current P/D,52 Wk Avg P/D,52 Wk High P/D,52 Wk Low P/D
350,PFO,$12.36,$13.00,$13.86,$11.92,$12.12,$12.27,$12.58,$11.84,1.98%,5.88%,13.77%,1.49%
351,MPV,$14.41,$13.47,$15.28,$11.72,$15.32,$14.36,$15.32,$13.60,-4.70%,-6.21%,-0.13%,-12.79%
352,JSD,$15.04,$14.53,$15.50,$13.30,$15.64,$15.56,$15.82,$15.19,-3.84%,-6.60%,-2.35%,-11.59%
353,AGD,$12.06,$11.73,$12.66,$10.40,$13.08,$12.84,$13.30,$11.97,-8.41%,-8.69%,-4.25%,-13.85%
354,MNP,$15.36,$15.71,$16.90,$14.77,$16.76,$17.10,$17.51,$16.68,-8.35%,-8.14%,-4.04%,-12.79%
355,NMT,$15.85,$15.06,$16.00,$14.00,$15.05,$15.26,$15.54,$14.96,5.32%,-1.24%,5.56%,-6.48%
356,FPL,$5.89,$5.51,$6.26,$4.46,$6.48,$6.18,$6.87,$5.35,-9.10%,-10.90%,-5.40%,-16.51%
357,NKG,$13.77,$13.53,$14.21,$12.47,$14.14,$14.34,$14.58,$14.08,-2.62%,-5.62%,-2.11%,-11.79%
358,PHD,$11.79,$11.44,$12.21,$10.18,$11.64,$11.68,$11.78,$11.56,1.29%,-2.05%,5.10%,-10.12%
359,GGZ,$15.84,$15.38,$17.29,$12.90,$17.53,$17.56,$18.91,$15.16,-9.64%,-12.46%,-8.62%,-17.83%
360,PAI,$15.05,$15.58,$17.41,$14.72,$15.44,$15.81,$16.15,$15.40,-2.53%,-1.47%,8.15%,-5.44%
361,BCV,$25.80,$30.54,$36.33,$25.50,$27.29,$32.22,$36.08,$27.29,-5.46%,-5.22%,5.41%,-10.64%
362,BANX,$21.53,$21.28,$24.19,$19.30,$21.85,$21.55,$21.85,$20.92,0.28%,-1.28%,6.02%,-9.05%
363,RMI,$22.10,$22.64,$24.24,$21.00,$22.45,$23.83,$24.68,$22.44,-1.56%,-5.01%,-0.76%,-9.72%
364,DCF,$9.27,$9.38,$9.99,$8.50,$9.29,$9.36,$9.49,$9.21,-0.22%,0.21%,4.90%,-7.81%
365,MGF,$4.18,$4.37,$4.56,$4.17,$4.26,$4.47,$4.70,$4.26,-1.88%,-2.33%,-0.47%,-5.11%
366,IAF,$5.87,$6.08,$6.66,$5.24,$6.07,$6.20,$6.55,$5.82,-2.80%,-1.99%,7.48%,-12.52%
367,CGO,$15.37,$15.88,$17.47,$14.24,$14.97,$15.36,$16.38,$14.40,2.67%,3.38%,8.60%,-1.54%
368,RGT,$12.96,$14.85,$17.63,$12.47,$13.77,$16.12,$17.76,$13.49,-5.88%,-7.88%,4.06%,-11.39%
369,ERH,$14.84,$13.90,$15.23,$12.39,$13.42,$12.84,$13.62,$11.73,10.58%,8.16%,17.55%,0.79%
370,RFM,$22.31,$23.14,$24.77,$20.94,$23.05,$24.18,$25.08,$22.95,-3.21%,-4.31%,-0.53%,-10.20%
371,KSM,$12.05,$12.23,$12.99,$11.28,$12.71,$12.87,$13.18,$12.55,-5.19%,-4.94%,-0.54%,-11.44%
